DateOfGame: 25-06-2023 00:28:03, Player score: 1, AI score: 2, Duration: 7852milliseconds
DateOfGame: 25-06-2023 00:28:29, Player score: 4, AI score: 5, Duration: 25090milliseconds
DateOfGame: 25-06-2023 12:24:45, Player score: 0, AI score: 0, Duration: 2856milliseconds
DateOfGame: 25-06-2023 12:24:47, Player score: 0, AI score: 0, Duration: 108milliseconds
DateOfGame: 25-06-2023 12:24:52, Player score: 0, AI score: 1, Duration: 2859milliseconds
DateOfGame: 25-06-2023 12:37:17, Player score: 0, AI score: 2, Duration: 2842milliseconds
DateOfGame: 25-06-2023 12:37:56, Player score: 6, AI score: 8, Duration: 26608milliseconds
DateOfGame: 25-06-2023 13:03:09, Player score: 0, AI score: 2, Duration: 2185milliseconds
DateOfGame: 25-06-2023 14:01:33, Player score: 7, AI score: 11, Duration: 39642milliseconds
DateOfGame: 25-06-2023 14:01:35, Player score: 0, AI score: 0, Duration: 1194milliseconds
DateOfGame: 25-06-2023 14:01:45, Player score: 0, AI score: 4, Duration: 9174milliseconds
DateOfGame: 25-06-2023 14:01:57, Player score: 3, AI score: 2, Duration: 11097milliseconds
DateOfGame: 25-06-2023 14:02:01, Player score: 1, AI score: 0, Duration: 3604milliseconds
DateOfGame: 25-06-2023 14:02:12, Player score: 3, AI score: 2, Duration: 10084milliseconds
DateOfGame: 25-06-2023 14:02:14, Player score: 0, AI score: 0, Duration: 648milliseconds
DateOfGame: 25-06-2023 14:04:15, Player score: 3, AI score: 6, Duration: 14149milliseconds
DateOfGame: 25-06-2023 14:04:39, Player score: 8, AI score: 5, Duration: 23188milliseconds
DateOfGame: 25-06-2023 14:04:55, Player score: 2, AI score: 6, Duration: 14219milliseconds
DateOfGame: 25-06-2023 14:04:57, Player score: 1, AI score: 0, Duration: 1963milliseconds
DateOfGame: 25-06-2023 14:05:03, Player score: 1, AI score: 1, Duration: 4590milliseconds
DateOfGame: 25-06-2023 14:06:43, Player score: 15, AI score: 8, Duration: 47671milliseconds
DateOfGame: 25-06-2023 14:12:01, Player score: 0, AI score: 0, Duration: 1954milliseconds
DateOfGame: 25-06-2023 14:12:11, Player score: 0, AI score: 1, Duration: 1436milliseconds
